ocsps.ssl.com	100.24.223.135,34.237.184.165,52.6.97.148
crls.ssl.com	13.226.22.50,13.226.22.70,13.226.22.84,13.226.22.110
9sta9rt4.store	81.177.140.194
associazionedignita.it	77.111.240.213
podiumstrtss.com	172.67.140.91,104.21.54.162
client-upgrade-a.wbx2.com	170.72.231.0,170.72.231.161,170.72.231.10
binaries.webex.com	18.64.183.33,18.64.183.41,18.64.183.69,18.64.183.29
metrics-a.wbx2.com	170.72.231.161,170.72.231.10,170.72.231.0
smakizelkopp.com	193.109.120.27
pokerstorstool.com	128.199.151.179
settings-win.data.microsoft.com	13.71.55.58
v10.events.data.microsoft.com	20.189.173.11
v10.events.data.microsoft.com	52.178.17.3
pokerstorstool.com	128.199.151.179
pokerstorstool.com	128.199.151.179
pokerstorstool.com	128.199.151.179
v10.events.data.microsoft.com	13.89.179.8
pokerstorstool.com	128.199.151.179
settings-win.data.microsoft.com	52.167.249.196
pokerstorstool.com	128.199.151.179
pokerstorstool.com	128.199.151.179
pokerstorstool.com	128.199.151.179
www.bing.com	131.253.33.200,13.107.22.200
BACKYARDVEGG-DC.backyardveggie.garden	10.8.9.9
pokerstorstool.com	128.199.151.179
pokerstorstool.com	128.199.151.179
pokerstorstool.com	128.199.151.179
_ldap._tcp.Default-First-Site-Name._sites.dc._msdcs.backyardveggie.garden	10.8.9.9
v10.events.data.microsoft.com	13.89.178.26
pokerstorstool.com	128.199.151.179
pokerstorstool.com	128.199.151.179
pokerstorstool.com	128.199.151.179
pokerstorstool.com	128.199.151.179
BACKYARDVEGG-DC.backyardveggie.garden	10.8.9.9
pokerstorstool.com	128.199.151.179
pokerstorstool.com	128.199.151.179
v10.events.data.microsoft.com	51.132.193.104
pokerstorstool.com	128.199.151.179
pokerstorstool.com	128.199.151.179
pokerstorstool.com	128.199.151.179
BACKYARDVEGG-DC.backyardveggie.garden	10.8.9.9
settings-win.data.microsoft.com	52.137.106.217
licensing.mp.microsoft.com	52.137.108.250
login.live.com	20.190.155.2,20.190.155.67,20.190.155.65,20.190.155.3,20.190.155.1,20.190.155.130,20.190.155.132,20.190.155.16
settings-win.data.microsoft.com	52.137.106.217
settings-win.data.microsoft.com	52.137.106.217
storecatalogrevocation.storequality.microsoft.com	96.17.117.107
pokerstorstool.com	128.199.151.179
fe2cr.update.microsoft.com	20.62.190.186,52.238.248.6
fe3cr.delivery.mp.microsoft.com	20.3.187.198
v10.events.data.microsoft.com	20.42.73.26
tsfe.trafficshaping.dsp.mp.microsoft.com	40.119.46.46
geo.prod.do.dsp.mp.microsoft.com	51.104.167.255
kv501.prod.do.dsp.mp.microsoft.com	23.5.245.10
cp501.prod.do.dsp.mp.microsoft.com	23.5.245.10
v10.events.data.microsoft.com	20.42.73.26
v10.events.data.microsoft.com	20.42.73.26
v10.events.data.microsoft.com	20.42.73.26
pokerstorstool.com	128.199.151.179
pokerstorstool.com	128.199.151.179
_ldap._tcp.Default-First-Site-Name._sites.dc._msdcs.backyardveggie.garden	10.8.9.9
v10.events.data.microsoft.com	52.182.143.209
fe2cr.update.microsoft.com	20.83.81.165,52.254.114.70
v10.events.data.microsoft.com	52.182.143.209
fe3cr.delivery.mp.microsoft.com	52.165.164.15
v10.events.data.microsoft.com	52.182.143.209
pokerstorstool.com	128.199.151.179
pokerstorstool.com	128.199.151.179
config.edge.skype.com	13.107.43.16
edge.microsoft.com	131.253.33.239,13.107.22.239
login.microsoftonline.com	40.126.29.11,40.126.29.10,40.126.29.8,40.126.29.5,20.190.157.11,40.126.29.13,40.126.29.14,40.126.29.12
msedgeextensions.sf.tlu.dl.delivery.mp.microsoft.com	8.251.181.252,8.251.177.252,8.251.189.124
update.googleapis.com	142.250.191.99
edge.microsoft.com	13.107.22.239,131.253.33.239
edgeassetservice.azureedge.net	13.107.246.51,13.107.213.51
ntp.msn.com	131.253.33.203
assets.msn.com	23.63.72.218,23.63.72.200,23.63.72.224,23.63.72.209,23.63.72.160,23.63.72.187,23.63.72.154,23.63.72.195,23.63.72.179
deff.nelreports.net	23.220.206.9,23.220.206.47
api.msn.com	131.253.33.203
browser.events.data.msn.com	20.42.65.89
sb.scorecardresearch.com	108.156.91.120,108.156.91.127,108.156.91.40,108.156.91.129
c.msn.com	20.125.209.212
c.bing.com	204.79.197.200,13.107.21.200
pokerstorstool.com	128.199.151.179
pokerstorstool.com	128.199.151.179
pokerstorstool.com	128.199.151.179
pokerstorstool.com	128.199.151.179
v10.events.data.microsoft.com	13.89.179.10
pokerstorstool.com	128.199.151.179
pokerstorstool.com	128.199.151.179
pokerstorstool.com	128.199.151.179
BACKYARDVEGG-DC.backyardveggie.garden	10.8.9.9
settings-win.data.microsoft.com	52.191.219.104
pokerstorstool.com	128.199.151.179
BACKYARDVEGG-DC.backyardveggie.garden	10.8.9.9
mrodevicemgr.officeapps.live.com	52.109.8.35
pokerstorstool.com	128.199.151.179
pokerstorstool.com	128.199.151.179
_ldap._tcp.Default-First-Site-Name._sites.dc._msdcs.backyardveggie.garden	10.8.9.9
v10.events.data.microsoft.com	20.42.65.90
pokerstorstool.com	128.199.151.179
pokerstorstool.com	128.199.151.179
pokerstorstool.com	128.199.151.179
pokerstorstool.com	128.199.151.179
pokerstorstool.com	128.199.151.179
pokerstorstool.com	128.199.151.179
v10.events.data.microsoft.com	13.89.179.10
pokerstorstool.com	128.199.151.179
